"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","Add Pet, Get Pet, Delete Pet and confirm not found","","2026-02-24","passed","2026-02-24","Petstore end-to-end tests","features/e2e/petstore.feature.spec.js","",""
"","189","Example #2","","2026-02-24","failed","2026-02-24","Get books by author (end-to-end) > API returns the same books as the database","features/e2e/get-books-by-author.feature.spec.js","",""
"","141","Add Pet and Update Pet then Get Pet by id","","2026-02-24","passed","2026-02-24","Petstore end-to-end tests","features/e2e/petstore.feature.spec.js","",""
"","191","Example #1","","2026-02-24","failed","2026-02-24","Get books by author (end-to-end) > API returns the same books as the database","features/e2e/get-books-by-author.feature.spec.js","",""
"","206","API returns the same books as the database","","2026-02-24","failed","2026-02-24","Dummy feature - Database and API consistency","features/e2e/dummy-e2e.feature.spec.js","",""
"","515","Add Pet and Get Pet by id","","2026-02-24","passed","2026-02-24","Petstore end-to-end tests","features/e2e/petstore.feature.spec.js","",""
