"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","974","Validate Petstore spec","","2026-04-16","passed","2026-04-16","Petstore Swagger validation","features/petstore/api/petstore-api-tests.feature.spec.js","",""
"","269","Add Pet, Get Pet, Delete Pet and confirm not found","","2026-04-16","passed","2026-04-16","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","226","Add Pet and Update Pet then Get Pet by id","","2026-04-16","passed","2026-04-16","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","1322","Add Pet and Get Pet by id","","2026-04-16","passed","2026-04-16","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
