"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31367","API returns the same books as the database for author ""John Doe""","","2026-03-20","failed","2026-03-20","Bookstore end-to-end tests > API returns the same books as the database for author ""<author>""","features/bookstore/e2e/bookstore-e2e-tests.feature.spec.js","",""
"","65","Add Pet, Get Pet, Delete Pet and confirm not found","","2026-03-20","passed","2026-03-20","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","93131","user registers a new account and deletes it","","2026-03-20","broken","2026-03-20","AutomationExercise registration","features/automationexercise/ui/register.feature.spec.js","",""
"","3175","user cannot log in with incorrect email and password","","2026-03-20","passed","2026-03-20","AutomationExercise login","features/automationexercise/ui/login.feature.spec.js","",""
"","75","Add Pet and Update Pet then Get Pet by id","","2026-03-20","passed","2026-03-20","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","30202","API returns the same books as the database for author ""Rahul Shetty""","","2026-03-20","failed","2026-03-20","Bookstore end-to-end tests > API returns the same books as the database for author ""<author>""","features/bookstore/e2e/bookstore-e2e-tests.feature.spec.js","",""
"","1614","user places an order for two products","","2026-03-20","failed","2026-03-20","shopping cart end-to-end tests","features/letsshop/e2e/shopping-cart-e2e-tests.feature.spec.js","",""
"","6220","user logs in with an existing (persisted) account","","2026-03-20","failed","2026-03-20","AutomationExercise login","features/automationexercise/ui/login.feature.spec.js","",""
"","95131","user registers a new account and is logged in","","2026-03-20","broken","2026-03-20","AutomationExercise registration","features/automationexercise/ui/register.feature.spec.js","",""
"","1389","Add Pet and Get Pet by id","","2026-03-20","passed","2026-03-20","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","1576","user completes the practice page flow","","2026-03-20","failed","2026-03-20","Practice page end-to-end tests","features/letsshop/e2e/practice-page-e2e-tests.feature.spec.js","",""
